,SPCD,COMMON_NAME,SHARED_COMMON_NAME_IND,GENUS,SPECIES,VARIETY,SUBSPECIES,SPECIES_SYMBOL,E_SPGRPCD,W_SPGRPCD,C_SPGRPCD,P_SPGRPCD,WOODLAND,SFTWD_HRDWD,MAJOR_SPGRPCD,STOCKING_SPGRPCD,FOREST_TYPE_SPGRPCD,CORE,EAST,WEST,CARIBBEAN,PACIFIC,EXISTS_IN_NCRS,EXISTS_IN_NERS,EXISTS_IN_PNWRS,EXISTS_IN_RMRS,EXISTS_IN_SRS,SITETREE,ST_EXISTS_IN_NCRS,ST_EXISTS_IN_NERS,ST_EXISTS_IN_PNWRS,ST_EXISTS_IN_RMRS,ST_EXISTS_IN_SRS,JENKINS_SPGRPCD,JENKINS_TOTAL_B1,JENKINS_TOTAL_B2,JENKINS_STEM_WOOD_RATIO_B1,JENKINS_STEM_WOOD_RATIO_B2,JENKINS_STEM_BARK_RATIO_B1,JENKINS_STEM_BARK_RATIO_B2,JENKINS_FOLIAGE_RATIO_B1,JENKINS_FOLIAGE_RATIO_B2,JENKINS_ROOT_RATIO_B1,JENKINS_ROOT_RATIO_B2,JENKINS_SAPLING_ADJUSTMENT,DRYWT_TO_GREENWT_CONVERSION,WOOD_SPGR_GREENVOL_DRYWT,WOOD_SPGR_GREENVOL_DRYWT_CIT,BARK_SPGR_GREENVOL_DRYWT,BARK_SPGR_GREENVOL_DRYWT_CIT,MC_PCT_GREEN_WOOD,MC_PCT_GREEN_WOOD_CIT,MC_PCT_GREEN_BARK,MC_PCT_GREEN_BARK_CIT,WOOD_SPGR_MC12VOL_DRYWT,WOOD_SPGR_MC12VOL_DRYWT_CIT,BARK_VOL_PCT,BARK_VOL_PCT_CIT,RAILE_STUMP_DOB_B1,RAILE_STUMP_DIB_B1,RAILE_STUMP_DIB_B2,CWD_DECAY_RATIO1,CWD_DECAY_RATIO2,CWD_DECAY_RATIO3,CWD_DECAY_RATIO4,CWD_DECAY_RATIO5,DWM_CARBON_RATIO,STANDING_DEAD_DECAY_RATIO1,STANDING_DEAD_DECAY_RATIO2,STANDING_DEAD_DECAY_RATIO3,STANDING_DEAD_DECAY_RATIO4,STANDING_DEAD_DECAY_RATIO5,CARBON_RATIO_LIVE,MANUAL_START,MANUAL_END,CREATED_BY,CREATED_DATE,CREATED_IN_INSTANCE,MODIFIED_BY,MODIFIED_DATE,MODIFIED_IN_INSTANCE,PURVES_TRAIT_SCORE
0,6156,Norfolk Island pine,Y,Araucaria,excelsa,,,AREX4,51,51,,51.0,N,S,1,20.0,227.0,N,,,,P,,,X,,,,,,,,,4,-2.5356,-2.4349,-0.3737,-1.8055,-2.098,-1.1432,-2.9584,4.4766,-1.5619,0.6614,0.45789,1.73805452859167,0.41,26.0,0.42,26.0,74.29,26.0,70.5,26.0,0.44,26.0,14.31,26.0,,,,,,,,,,0.97,1.0,0.92,0.55,0.4,0.479,5.0,,FS_NIMS_SRS,2023-03-06 13:26:10,440,FS_NIMS,2023-06-14 19:19:42,732862.0,0.34524
1,6157,Norfolk Island pine,Y,Araucaria,heterophylla,,,ARHE12,51,51,51.0,51.0,N,S,1,20.0,227.0,N,,,C,P,,,X,,X,,,,,,,4,-2.5356,-2.4349,-0.3737,-1.8055,-2.098,-1.1432,-2.9584,4.4766,-1.5619,0.6614,0.45789,1.758473593982157,0.52,26.0,0.53,26.0,75.13,26.0,80.49,26.0,0.58,26.0,15.16,26.0,0.12766,0.91979,0.12152,1.0,0.78,0.45,0.42,0.42,0.491,0.987,0.837,0.685,0.539,0.539,0.475,5.0,,NIMS_TROP_4_0,2023-03-06 13:26:10,10854,FS_NIMS,2023-05-25 22:32:46,732862.0,0.34524
2,6158,Araucaria,N,Araucaria,spp.,,,ARAUC2,51,51,,51.0,N,S,1,20.0,,N,,,,P,,,X,,,,,,,,,4,-2.5356,-2.4349,-0.3737,-1.8055,-2.098,-1.1432,-2.9584,4.4766,-1.5619,0.6614,0.45789,1.76,0.44546,,0.44546,,,,,,0.44546,,,,,,,,,,,,,,,,,,0.477,5.0,,FS_NIMS_SRS,2023-03-06 13:26:10,440,FS_NIMS_RMRS,2023-05-25 22:32:46,67572.0,0.34524
3,6159,Alexandra palm,N,Archontophoenix,alexandrae,,,ARAL,53,53,,53.0,N,H,3,37.0,,N,,,,P,,,X,,,,,,,,,8,-2.48,2.4835,-0.3065,-5.424,-2.0129,-1.6805,-4.0813,5.8816,-1.6911,0.816,0.84031,1.76,0.82656,26.0,0.82656,26.0,75.13,26.0,80.49,26.0,0.82656,26.0,15.16,26.0,0.12766,0.91979,0.12152,1.0,0.78,0.45,0.42,0.42,0.491,0.987,0.837,0.685,0.539,0.539,0.464,5.0,,FS_NIMS_SRS,2023-03-06 13:26:10,440,FS_NIMS_PNWRS,2023-05-25 22:32:46,67572.0,0.5302307692307692
4,6160,Bangalow palm,N,Archontophoenix,cunninghamiana,,,ARCU2,53,53,,53.0,N,H,3,37.0,227.0,N,,,,P,,,X,,,,,,,,,8,-2.48,2.4835,-0.3065,-5.424,-2.0129,-1.6805,-4.0813,5.8816,-1.6911,0.816,0.84031,1.75847359398216,0.52,26.0,0.53,26.0,75.13,26.0,80.49,26.0,0.58,26.0,15.16,26.0,0.12766,0.91979,0.12152,1.0,0.78,0.45,0.42,0.42,0.491,0.991,0.822,0.647,0.541,0.541,0.475,1.7,,FS_NIMS,2023-03-06 13:26:10,981125,FS_NIMS,2023-05-25 22:32:46,732862.0,0.5302307692307692
5,6161,shoebutton,N,Ardisia,elliptica,,,AREL4,54,54,,54.0,N,H,3,37.0,146.0,N,,,,P,,,X,,,,,,,,,8,-2.48,2.4835,-0.3065,-5.424,-2.0129,-1.6805,-4.0813,5.8816,-1.6911,0.816,0.84031,2.0,0.62,26.0,0.62,26.0,75.13,26.0,80.49,26.0,0.62,26.0,15.16,26.0,0.12766,0.91979,0.12152,1.0,0.78,0.45,0.42,0.42,0.491,0.987,0.837,0.685,0.539,0.539,0.471,5.0,,FS_NIMS_SRS,2023-03-06 13:26:10,440,FS_NIMS_PNWRS,2023-05-25 22:32:46,67572.0,0.5302307692307692
6,6162,ausubon,N,Ardisia,glauciflora,,,ARGL11,54,54,54.0,,N,H,3,37.0,227.0,N,,,C,,,,,,X,,,,,,,8,-2.48,2.4835,-0.3065,-5.424,-2.0129,-1.6805,-4.0813,5.8816,-1.6911,0.816,0.84031,1.758473593982157,0.52,26.0,0.53,26.0,75.13,26.0,80.49,26.0,0.58,26.0,15.16,26.0,0.12766,0.91979,0.12152,1.0,0.78,0.45,0.42,0.42,0.491,0.987,0.837,0.685,0.539,0.539,0.475,5.0,,NIMS_TROP_4_0,2023-03-06 13:26:10,10854,FS_NIMS,2023-05-25 22:32:46,732862.0,0.5302307692307692
7,6163,mountain marlberry,N,Ardisia,luquillensis,,,ARLU3,54,54,54.0,,N,H,3,37.0,227.0,N,,,C,,,,,,X,,,,,,,8,-2.48,2.4835,-0.3065,-5.424,-2.0129,-1.6805,-4.0813,5.8816,-1.6911,0.816,0.84031,1.758473593982157,0.52,26.0,0.53,26.0,75.13,26.0,80.49,26.0,0.58,26.0,15.16,26.0,0.12766,0.91979,0.12152,1.0,0.78,0.45,0.42,0.42,0.491,0.987,0.837,0.685,0.539,0.539,0.475,5.0,,NIMS_TROP_4_0,2023-03-06 13:26:10,10854,FS_NIMS,2023-05-25 22:32:46,732862.0,0.5302307692307692
8,6164,Guadeloupe marlberry,N,Ardisia,obovata,,,AROB2,54,54,54.0,,N,H,3,37.0,227.0,N,,,C,,,,,,X,,,,,,,8,-2.48,2.4835,-0.3065,-5.424,-2.0129,-1.6805,-4.0813,5.8816,-1.6911,0.816,0.84031,1.758473593982157,0.52,26.0,0.53,26.0,75.13,26.0,80.49,26.0,0.58,26.0,15.16,26.0,0.12766,0.91979,0.12152,1.0,0.78,0.45,0.42,0.42,0.491,0.987,0.837,0.685,0.539,0.539,0.475,5.0,,NIMS_TROP_4_0,2023-03-06 13:26:10,10854,FS_NIMS,2023-05-25 22:32:46,732862.0,0.5302307692307692
9,6165,China-shrub,N,Ardisia,solanacea,,,ARSO,54,54,54.0,,N,H,3,37.0,227.0,N,,,C,,,,,,X,,,,,,,8,-2.48,2.4835,-0.3065,-5.424,-2.0129,-1.6805,-4.0813,5.8816,-1.6911,0.816,0.84031,1.758473593982157,0.52,26.0,0.53,26.0,75.13,26.0,80.49,26.0,0.58,26.0,15.16,26.0,0.12766,0.91979,0.12152,1.0,0.78,0.45,0.42,0.42,0.491,0.987,0.837,0.685,0.539,0.539,0.475,5.0,,NIMS_TROP_4_0,2023-03-06 13:26:10,10854,FS_NIMS,2023-05-25 22:32:46,732862.0,0.5302307692307692
10,6166,marlberry,N,Ardisia,spp.,,,ARDIS,54,54,,54.0,N,H,3,37.0,,N,,,,P,,,X,,,,,,,,,8,,,,,,,,,,,,1.76,0.62,,0.62,,,,,,0.62,,,,,,,,,,,,,,,,,,0.471,5.0,,FS_NIMS_SRS,2023-03-06 13:26:10,440,FS_NIMS_PNWRS,2023-05-25 22:32:46,798795.0,0.5302307692307692
11,6167,betelnut,N,Areca,catechu,,,ARCA41,54,54,,54.0,N,H,3,37.0,,N,,,,P,,,X,,,,,,,,,8,-2.48,2.4835,-0.3065,-5.424,-2.0129,-1.6805,-4.0813,5.8816,-1.6911,0.816,0.84031,1.76,0.48,26.0,0.48,26.0,75.13,26.0,80.49,26.0,0.48,26.0,15.16,26.0,0.12766,0.91979,0.12152,1.0,0.78,0.45,0.42,0.42,0.491,0.987,0.837,0.685,0.539,0.539,0.476,5.0,,FS_NIMS_SRS,2023-03-06 13:26:10,440,FS_NIMS_PNWRS,2023-05-25 22:32:46,67572.0,0.5302307692307692
12,6169,cabo-negro,N,Arenga,pinnata,,,ARPI6,54,54,,54.0,N,H,3,37.0,,N,,,,P,,,X,,,,,,,,,8,,,,,,,,,,,,1.76,0.48,,0.48,,,,,,0.48,,,,,,,,,,,,,,,,,,0.476,5.0,,FS_NIMS_SRS,2023-03-06 13:26:10,440,FS_NIMS_PNWRS,2023-05-25 22:32:46,798795.0,0.5302307692307692
13,6171,breadfruit,N,Artocarpus,altilis,,,ARAL7,54,54,54.0,54.0,N,H,3,37.0,227.0,N,,,C,P,,,X,,X,,,,,,,8,-2.48,2.4835,-0.3065,-5.424,-2.0129,-1.6805,-4.0813,5.8816,-1.6911,0.816,0.84031,1.758473593982157,0.52,26.0,0.53,26.0,75.13,26.0,80.49,26.0,0.58,26.0,15.16,26.0,0.12766,0.91979,0.12152,1.0,0.78,0.45,0.42,0.42,0.491,0.987,0.837,0.685,0.539,0.539,0.475,5.0,,NIMS_TROP_4_0,2023-03-06 13:26:10,10854,FS_NIMS,2023-05-25 22:32:46,732862.0,0.5302307692307692
14,6173,Artocarpus heterophyllus,N,Artocarpus,heterophyllus,,,ARHE2,54,54,54.0,54.0,N,H,3,37.0,227.0,N,,,C,P,,,X,,X,,,,,,,8,-2.48,2.4835,-0.3065,-5.424,-2.0129,-1.6805,-4.0813,5.8816,-1.6911,0.816,0.84031,1.758473593982157,0.52,26.0,0.53,26.0,75.13,26.0,80.49,26.0,0.58,26.0,15.16,26.0,0.12766,0.91979,0.12152,1.0,0.78,0.45,0.42,0.42,0.491,0.987,0.837,0.685,0.539,0.539,0.475,5.0,,NIMS_TROP_4_0,2023-03-06 13:26:10,10854,FS_NIMS,2023-05-25 22:32:46,732862.0,0.5302307692307692
15,6175,"dugdug, Marianas breadfruit",N,Artocarpus,mariannensis,,,ARMA28,54,54,,54.0,N,H,3,37.0,,N,,,,P,,,X,,,,,,,,,8,-2.48,2.4835,-0.3065,-5.424,-2.0129,-1.6805,-4.0813,5.8816,-1.6911,0.816,0.84031,1.76,0.484,26.0,0.484,26.0,75.13,26.0,80.49,26.0,0.484,26.0,15.16,26.0,0.12766,0.91979,0.12152,1.0,0.78,0.45,0.42,0.42,0.491,0.987,0.837,0.685,0.539,0.539,0.476,5.0,,FS_NIMS_SRS,2023-03-06 13:26:10,440,FS_NIMS_PNWRS,2023-05-25 22:32:46,67572.0,0.5302307692307692
16,6176,Artocarpus nobilis,N,Artocarpus,nobilis,,,ARNO,54,54,,54.0,N,H,3,37.0,,N,,,,P,,,X,,,,,,,,,8,,,,,,,,,,,,1.76,0.484,,0.484,,,,,,0.484,,,,,,,,,,,,,,,,,,0.476,5.0,,FS_NIMS_SRS,2023-03-06 13:26:10,440,FS_NIMS_PNWRS,2023-05-25 22:32:46,798795.0,0.5302307692307692
17,6177,Marang,N,Artocarpus,odoratissimus,,,AROD2,54,54,,54.0,N,H,3,37.0,,N,,,,P,,,X,,,,,,,,,8,,,,,,,,,,,,1.76,0.55,,0.55,,,,,,0.55,,,,,,,,,,,,,,,,,,0.474,5.0,,FS_NIMS_SRS,2023-03-06 13:26:10,440,FS_NIMS_PNWRS,2023-05-25 22:32:46,798795.0,0.5302307692307692
18,6088,"chelebiob, elebiong",N,Alphitonia,carolinensis,,,ALCA21,54,54,,54.0,N,H,3,37.0,,N,,,,P,,,X,,,,,,,,,8,-2.48,2.4835,-0.3065,-5.424,-2.0129,-1.6805,-4.0813,5.8816,-1.6911,0.816,0.84031,1.76,0.5,26.0,0.5,26.0,75.13,26.0,80.49,26.0,0.5,26.0,15.16,26.0,0.12766,0.91979,0.12152,1.0,0.78,0.45,0.42,0.42,0.491,0.987,0.837,0.685,0.539,0.539,0.476,5.0,,FS_NIMS_SRS,2023-03-06 13:26:10,440,FS_NIMS_PNWRS,2023-05-25 22:32:46,67572.0,0.5302307692307692
19,6089,Hawaii kauilatree,N,Alphitonia,ponderosa,,,ALPO3,54,54,,54.0,N,H,3,37.0,,N,,,,P,,,X,,,,,,,,,8,-2.48,2.4835,-0.3065,-5.424,-2.0129,-1.6805,-4.0813,5.8816,-1.6911,0.816,0.84031,1.76,0.5,26.0,0.5,26.0,75.13,26.0,80.49,26.0,0.5,26.0,15.16,26.0,0.12766,0.91979,0.12152,1.0,0.78,0.45,0.42,0.42,0.491,0.987,0.837,0.685,0.539,0.539,0.476,5.0,,FS_NIMS_SRS,2023-03-06 13:26:10,440,FS_NIMS_PNWRS,2023-05-25 22:32:46,290487.0,0.5302307692307692
20,6090,Alphitonia,N,Alphitonia,spp.,,,ALPHI,54,54,,54.0,N,H,3,37.0,,N,,,,P,,,X,,,,,,,,,8,-2.48,2.4835,-0.3065,-5.424,-2.0129,-1.6805,-4.0813,5.8816,-1.6911,0.816,0.84031,1.76,0.5,26.0,0.5,26.0,75.13,26.0,80.49,26.0,0.5,26.0,15.16,26.0,0.12766,0.91979,0.12152,1.0,0.78,0.45,0.42,0.42,0.491,0.987,0.837,0.685,0.539,0.539,0.476,5.0,,FS_NIMS_SRS,2023-03-06 13:26:10,440,FS_NIMS_PNWRS,2023-05-25 22:32:46,67572.0,0.5302307692307692
21,6091,toi,N,Alphitonia,zizyphoides,,,ALZI,54,54,,54.0,N,H,3,37.0,,N,,,,P,,,X,,,,,,,,,8,-2.48,2.4835,-0.3065,-5.424,-2.0129,-1.6805,-4.0813,5.8816,-1.6911,0.816,0.84031,1.76,0.4,26.0,0.4,26.0,75.13,26.0,80.49,26.0,0.4,26.0,15.16,26.0,0.12766,0.91979,0.12152,1.0,0.78,0.45,0.42,0.42,0.491,0.987,0.837,0.685,0.539,0.539,0.479,5.0,,FS_NIMS_SRS,2023-03-06 13:26:10,440,FS_NIMS_PNWRS,2023-05-25 22:32:46,67572.0,0.5302307692307692
22,6092,helecho gigante de la sierra,N,Alsophila,bryophila,,,ALBR4,54,54,54.0,,N,H,3,37.0,227.0,N,,,C,,,,,,X,,,,,,,8,-2.48,2.4835,-0.3065,-5.424,-2.0129,-1.6805,-4.0813,5.8816,-1.6911,0.816,0.84031,1.758473593982157,0.52,26.0,0.53,26.0,75.13,26.0,80.49,26.0,0.58,26.0,15.16,26.0,0.12766,0.91979,0.12152,1.0,0.78,0.45,0.42,0.42,0.491,0.987,0.837,0.685,0.539,0.539,0.475,5.0,,NIMS_TROP_4_0,2023-03-06 13:26:10,10854,FS_NIMS,2023-05-25 22:32:46,732862.0,0.5302307692307692
23,6028,red beadtree,N,Adenanthera,pavonina,,,ADPA,54,54,54.0,54.0,N,H,3,37.0,227.0,N,,,C,P,,,X,,X,,,,,,,8,-2.48,2.4835,-0.3065,-5.424,-2.0129,-1.6805,-4.0813,5.8816,-1.6911,0.816,0.84031,1.758473593982157,0.52,26.0,0.53,26.0,75.13,26.0,80.49,26.0,0.58,26.0,15.16,26.0,0.12766,0.91979,0.12152,1.0,0.78,0.45,0.42,0.42,0.491,0.987,0.837,0.685,0.539,0.539,0.475,5.0,,NIMS_TROP_4_0,2023-03-06 13:26:10,10854,FS_NIMS,2023-05-25 22:32:46,732862.0,0.5302307692307692
24,6029,beadtree,N,Adenanthera,spp.,,,ADENA,54,54,,54.0,N,H,3,37.0,,N,,,,P,,,X,,,,,,,,,8,,,,,,,,,,,,1.76,0.68,,0.68,,,,,,0.68,,,,,,,,,,,,,,,,,,0.469,5.0,,FS_NIMS_SRS,2023-03-06 13:26:10,440,FS_NIMS_PNWRS,2023-05-25 22:32:46,798795.0,0.5302307692307692
25,6032,Caribbean spiritweed,N,Aegiphila,martinicensis,,,AEMA,54,54,54.0,,N,H,3,37.0,227.0,N,,,C,,,,,,X,,,,,,,8,-2.48,2.4835,-0.3065,-5.424,-2.0129,-1.6805,-4.0813,5.8816,-1.6911,0.816,0.84031,1.758473593982157,0.52,26.0,0.53,26.0,75.13,26.0,80.49,26.0,0.58,26.0,15.16,26.0,0.12766,0.91979,0.12152,1.0,0.78,0.45,0.42,0.42,0.491,0.987,0.837,0.685,0.539,0.539,0.475,5.0,,NIMS_TROP_4_0,2023-03-06 13:26:10,10854,FS_NIMS,2023-05-25 22:32:46,732862.0,0.5302307692307692
26,6034,yellowwood,Y,Afrocarpus,falcatus,,,AFFA,55,55,,,N,H,3,37.0,146.0,Y,,X,,,,,X,,,,,,,,,8,-2.48,2.4835,-0.3065,-5.424,-2.0129,-1.6805,-4.0813,5.8816,-1.6911,0.816,0.84031,1.758473594,0.52,26.0,0.53,26.0,75.13,26.0,80.49,26.0,0.58,26.0,15.16,26.0,0.12766,0.91979,0.12152,1.0,0.78,0.45,0.42,0.42,0.491,0.987,0.837,0.685,0.539,0.539,0.453,7.0,,FS_NIMS_PNWRS,2023-03-06 13:26:10,981125,FS_NIMS,2023-05-25 22:32:46,732862.0,0.5302307692307692
27,6035,East African yellowwood,N,Afrocarpus,gracilior,,,AFGR,55,55,,,N,H,3,37.0,146.0,Y,,X,,,,,X,,,,,,,,,8,-2.48,2.4835,-0.3065,-5.424,-2.0129,-1.6805,-4.0813,5.8816,-1.6911,0.816,0.84031,1.758473594,0.52,26.0,0.53,26.0,75.13,26.0,80.49,26.0,0.58,26.0,15.16,26.0,0.12766,0.91979,0.12152,1.0,0.78,0.45,0.42,0.42,0.491,0.987,0.837,0.685,0.539,0.539,0.475,7.0,,FS_NIMS_PNWRS,2023-03-06 13:26:10,981125,FS_NIMS,2023-05-25 22:32:46,732862.0,0.5302307692307692
28,6036,kauri,N,Agathis,australis,,,AGAU4,54,54,54.0,,N,H,3,37.0,227.0,N,,,C,,,,,,X,,,,,,,8,-2.48,2.4835,-0.3065,-5.424,-2.0129,-1.6805,-4.0813,5.8816,-1.6911,0.816,0.84031,1.758473593982157,0.52,26.0,0.53,26.0,75.13,26.0,80.49,26.0,0.58,26.0,15.16,26.0,0.12766,0.91979,0.12152,1.0,0.78,0.45,0.42,0.42,0.491,0.987,0.837,0.685,0.539,0.539,0.475,5.0,,NIMS_TROP_4_0,2023-03-06 13:26:10,10854,FS_NIMS,2023-05-25 22:32:46,732862.0,0.5302307692307692
29,6037,Queensland kauri,N,Agathis,robusta,,,AGRO6,54,54,54.0,,N,H,3,37.0,227.0,N,,,C,,,,,,X,,,,,,,8,-2.48,2.4835,-0.3065,-5.424,-2.0129,-1.6805,-4.0813,5.8816,-1.6911,0.816,0.84031,1.758473593982157,0.52,26.0,0.53,26.0,75.13,26.0,80.49,26.0,0.58,26.0,15.16,26.0,0.12766,0.91979,0.12152,1.0,0.78,0.45,0.42,0.42,0.491,0.987,0.837,0.685,0.539,0.539,0.475,5.0,,NIMS_TROP_4_0,2023-03-06 13:26:10,10854,FS_NIMS,2023-05-25 22:32:46,732862.0,0.5302307692307692
30,6042,Titimel,N,Aglaia,mariannensis,,,AGMA14,54,54,,54.0,N,H,3,37.0,,N,,,,P,,,X,,,,,,,,,8,-2.48,2.4835,-0.3065,-5.424,-2.0129,-1.6805,-4.0813,5.8816,-1.6911,0.816,0.84031,1.76,0.66,26.0,0.66,26.0,75.13,26.0,80.49,26.0,0.66,26.0,15.16,26.0,0.12766,0.91979,0.12152,1.0,0.78,0.45,0.42,0.42,0.491,0.987,0.837,0.685,0.539,0.539,0.47,5.0,,FS_NIMS_SRS,2023-03-06 13:26:10,440,FS_NIMS_PNWRS,2023-05-25 22:32:46,67572.0,0.5302307692307692
31,6043,mesecheues,Y,Aglaia,palauensis,,,AGPA19,54,54,,54.0,N,H,3,37.0,,N,,,,P,,,X,,,,,,,,,8,-2.48,2.4835,-0.3065,-5.424,-2.0129,-1.6805,-4.0813,5.8816,-1.6911,0.816,0.84031,1.76,0.66,26.0,0.66,26.0,75.13,26.0,80.49,26.0,0.66,26.0,15.16,26.0,0.12766,0.91979,0.12152,1.0,0.78,0.45,0.42,0.42,0.491,0.987,0.837,0.685,0.539,0.539,0.47,5.0,,FS_NIMS_SRS,2023-03-06 13:26:10,440,FS_NIMS_PNWRS,2023-05-25 22:32:46,67572.0,0.5302307692307692
32,6044,"karasyu, marasau",N,Aglaia,ponapensis,,,AGPO4,54,54,,54.0,N,H,3,37.0,,N,,,,P,,,X,,,,,,,,,8,-2.48,2.4835,-0.3065,-5.424,-2.0129,-1.6805,-4.0813,5.8816,-1.6911,0.816,0.84031,1.76,0.66,26.0,0.66,26.0,75.13,26.0,80.49,26.0,0.66,26.0,15.16,26.0,0.12766,0.91979,0.12152,1.0,0.78,0.45,0.42,0.42,0.491,0.987,0.837,0.685,0.539,0.539,0.47,5.0,,FS_NIMS_SRS,2023-03-06 13:26:10,440,FS_NIMS_PNWRS,2023-05-25 22:32:46,67572.0,0.5302307692307692
33,6046,laga ali,N,Aglaia,samoensis,,,AGSA9,54,54,,54.0,N,H,3,37.0,,N,,,,P,,,X,,,,,,,,,8,-2.48,2.4835,-0.3065,-5.424,-2.0129,-1.6805,-4.0813,5.8816,-1.6911,0.816,0.84031,1.76,0.66,26.0,0.66,26.0,75.13,26.0,80.49,26.0,0.66,26.0,15.16,26.0,0.12766,0.91979,0.12152,1.0,0.78,0.45,0.42,0.42,0.491,0.987,0.837,0.685,0.539,0.539,0.47,5.0,,FS_NIMS_SRS,2023-03-06 13:26:10,440,FS_NIMS_PNWRS,2023-05-25 22:32:46,67572.0,0.5302307692307692
34,6047,Aglaia,N,Aglaia,spp.,,,AGLAI,54,54,,54.0,N,H,3,37.0,,N,,,,P,,,X,,,,,,,,,8,,,,,,,,,,,,1.76,0.66,,0.66,,,,,,0.66,,,,,,,,,,,,,,,,,,0.47,5.0,,FS_NIMS_SRS,2023-03-06 13:26:10,440,FS_NIMS_PNWRS,2023-05-25 22:32:46,798795.0,0.5302307692307692
35,6048,Olomea,Y,Aidia,cochinchinensis,,,AICO2,54,54,,54.0,N,H,3,37.0,,N,,,,P,,,X,,,,,,,,,8,-2.48,2.4835,-0.3065,-5.424,-2.0129,-1.6805,-4.0813,5.8816,-1.6911,0.816,0.84031,1.76,0.66297,26.0,0.66297,26.0,75.13,26.0,80.49,26.0,0.66297,26.0,15.16,26.0,0.12766,0.91979,0.12152,1.0,0.78,0.45,0.42,0.42,0.491,0.987,0.837,0.685,0.539,0.539,0.47,5.0,,FS_NIMS_SRS,2023-03-06 13:26:10,440,FS_NIMS_PNWRS,2023-05-25 22:32:46,67572.0,0.5302307692307692
36,6049,Aidia racemosa,N,Aidia,racemosa,,,AIRA2,54,54,,54.0,N,H,3,37.0,,N,,,,P,,,X,,,,,,,,,8,,,,,,,,,,,,1.76,0.7706,,0.7706,,,,,,0.7706,,,,,,,,,,,,,,,,,,0.466,5.0,,FS_NIMS_SRS,2023-03-06 13:26:10,440,FS_NIMS_PNWRS,2023-05-25 22:32:46,798795.0,0.5302307692307692
37,6051,ailanthus,Y,Ailanthus,spp.,,,AILAN,54,54,,54.0,N,H,3,37.0,,N,,,,P,,,X,,,,,,,,,8,,,,,,,,,,,,1.76,0.37454,,0.37454,,,,,,0.37454,,,,,,,,,,,,,,,,,,0.48,5.0,,FS_NIMS_SRS,2023-03-06 13:26:10,440,FS_NIMS_PNWRS,2023-05-25 22:32:46,798795.0,0.5302307692307692
38,6053,Aiphanes minima,N,Aiphanes,minima,,,AIMI,54,54,54.0,,N,H,3,37.0,227.0,N,,,C,,,,,,X,,,,,,,8,-2.48,2.4835,-0.3065,-5.424,-2.0129,-1.6805,-4.0813,5.8816,-1.6911,0.816,0.84031,1.758473593982157,0.52,26.0,0.53,26.0,75.13,26.0,80.49,26.0,0.58,26.0,15.16,26.0,0.12766,0.91979,0.12152,1.0,0.78,0.45,0.42,0.42,0.491,0.987,0.837,0.685,0.539,0.539,0.475,5.0,,NIMS_TROP_4_0,2023-03-06 13:26:10,10854,FS_NIMS,2023-05-25 22:32:46,732862.0,0.5302307692307692
39,6055,cream albizia,N,Albizia,adinocephala,,,ALAD,54,54,54.0,,N,H,3,37.0,227.0,N,,,C,,,,,,X,,,,,,,8,-2.48,2.4835,-0.3065,-5.424,-2.0129,-1.6805,-4.0813,5.8816,-1.6911,0.816,0.84031,1.758473593982157,0.52,26.0,0.53,26.0,75.13,26.0,80.49,26.0,0.58,26.0,15.16,26.0,0.12766,0.91979,0.12152,1.0,0.78,0.45,0.42,0.42,0.491,0.987,0.837,0.685,0.539,0.539,0.475,5.0,,NIMS_TROP_4_0,2023-03-06 13:26:10,10854,FS_NIMS,2023-05-25 22:32:46,732862.0,0.5302307692307692
40,6056,naked albizia,N,Albizia,carbonaria,,,ALCA8,54,54,54.0,,N,H,3,37.0,227.0,N,,,C,,,,,,X,,,,,,,8,-2.48,2.4835,-0.3065,-5.424,-2.0129,-1.6805,-4.0813,5.8816,-1.6911,0.816,0.84031,1.758473593982157,0.52,26.0,0.53,26.0,75.13,26.0,80.49,26.0,0.58,26.0,15.16,26.0,0.12766,0.91979,0.12152,1.0,0.78,0.45,0.42,0.42,0.491,0.987,0.837,0.685,0.539,0.539,0.475,5.0,,NIMS_TROP_4_0,2023-03-06 13:26:10,10854,FS_NIMS,2023-05-25 22:32:46,732862.0,0.5302307692307692
41,6057,Chinese albizia,N,Albizia,chinensis,,,ALCH2,54,54,,54.0,N,H,3,37.0,,N,,,,P,,,X,,,,,,,,,8,-2.48,2.4835,-0.3065,-5.424,-2.0129,-1.6805,-4.0813,5.8816,-1.6911,0.816,0.84031,1.76,0.3,26.0,0.3,26.0,75.13,26.0,80.49,26.0,0.3,26.0,15.16,26.0,0.12766,0.91979,0.12152,1.0,0.78,0.45,0.42,0.42,0.491,0.987,0.837,0.685,0.539,0.539,0.483,5.0,,FS_NIMS_SRS,2023-03-06 13:26:10,440,FS_NIMS_PNWRS,2023-05-25 22:32:46,67572.0,0.5302307692307692
